Age,Gender,MaritalStatus,Attrition,BusinessTravel,Department,JobRole,EducationField,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,JobInvolvement,JobLevel,NumCompaniesWorked,PerformanceRating
45,Male,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",7,86,2,59,1339,18787,9724,3,3,2,3
35,Male,Married,No,Travel_Frequently,"Research & Development","Research Scientist",Medical,1,88,2,79,664,5868,2194,3,1,4,3
36,Male,Married,Yes,Travel_Rarely,"Research & Development","Research Scientist",Medical,9,90,4,79,318,21777,3388,2,1,0,3
59,Female,Single,No,Travel_Frequently,Sales,"Sales Executive","Life Sciences",1,91,1,57,1225,24668,5473,2,2,7,3
29,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",2,94,3,76,1328,4956,2703,3,1,0,4
31,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,1,95,3,87,1082,18775,2501,3,1,1,3
32,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",1,96,2,66,548,7346,6220,3,2,1,3
36,Female,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",6,97,2,55,132,22002,3038,4,1,3,3
31,Female,Single,No,Travel_Rarely,"Research & Development","Manufacturing Director","Life Sciences",8,98,3,61,746,20682,4424,3,2,1,4
35,Male,Single,No,Travel_Rarely,Sales,"Sales Executive",Marketing,1,100,3,32,776,23016,4312,2,2,0,3
45,Male,Married,No,Travel_Rarely,"Research & Development","Research Director",Other,6,101,4,52,193,15067,13245,3,3,4,3
37,Male,Single,No,Travel_Rarely,"Research & Development","Research Director",Medical,7,102,1,30,397,25258,13664,3,3,4,3
46,Male,Divorced,No,Travel_Rarely,"Human Resources","Human Resources",Medical,5,103,2,80,945,10425,5021,3,2,8,4
30,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",1,104,4,55,852,15998,5126,2,2,1,3
35,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,1,105,2,30,1214,26278,2859,2,1,1,3
55,Male,Married,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",1,106,1,70,111,18092,10239,3,3,3,3
38,Female,Divorced,No,Non-Travel,"Research & Development","Research Scientist",Medical,6,107,2,79,573,15717,5329,1,2,7,3
34,Male,Married,No,Travel_Rarely,"Research & Development","Manufacturing Director",Medical,1,110,1,94,1153,17736,4325,3,2,1,3
56,Male,Single,No,Travel_Rarely,"Research & Development","Manufacturing Director","Life Sciences",7,112,4,49,1400,21698,7260,1,3,4,3
23,Male,Divorced,No,Travel_Rarely,Sales,"Sales Representative","Technical Degree",2,113,3,62,541,9518,2322,3,1,3,3
51,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",9,116,4,96,432,18725,2075,3,1,3,4
30,Male,Married,No,Travel_Rarely,"Research & Development","Healthcare Representative","Life Sciences",2,117,3,99,288,15830,4152,2,2,1,3
46,Male,Single,Yes,Travel_Rarely,Sales,"Sales Executive",Medical,9,118,3,64,669,13596,9619,2,3,1,3
40,Male,Married,No,Travel_Frequently,"Research & Development","Healthcare Representative","Life Sciences",1,119,3,78,530,14115,13503,2,4,1,4
51,Male,Single,No,Travel_Rarely,Sales,"Sales Executive",Marketing,21,120,3,71,632,8423,5441,3,2,0,4
30,Female,Divorced,No,Travel_Rarely,Sales,"Sales Executive",Medical,4,121,3,63,1334,19760,5209,2,2,1,3
46,Male,Married,No,Travel_Frequently,"Research & Development","Healthcare Representative",Medical,1,124,3,40,638,3142,10673,2,3,2,3
32,Male,Single,No,Travel_Rarely,Sales,"Sales Executive",Medical,6,125,2,87,1093,24301,5010,3,2,1,3
54,Female,Married,No,Travel_Rarely,"Research & Development","Research Director","Technical Degree",2,126,1,60,1217,24001,13549,3,3,9,3
24,Female,Married,No,Travel_Rarely,Sales,"Sales Executive",Other,3,128,1,33,1353,17519,4999,3,2,0,4
28,Male,Married,No,Non-Travel,Sales,"Sales Executive",Medical,4,129,2,43,120,8863,4221,3,2,1,3
58,Male,Single,No,Travel_Rarely,Sales,"Sales Executive",Medical,10,131,4,37,682,24409,13872,3,4,0,3
44,Male,Married,No,Non-Travel,"Research & Development","Laboratory Technician",Medical,23,132,2,67,489,25043,2042,3,2,4,3
37,Male,Divorced,Yes,Travel_Rarely,"Human Resources","Human Resources","Human Resources",6,133,3,63,807,23648,2073,3,1,4,4
32,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",1,134,4,71,827,15178,2956,3,1,1,3
20,Female,Single,Yes,Travel_Frequently,"Research & Development","Laboratory Technician","Life Sciences",6,137,4,66,871,19783,2926,2,1,1,3
34,Female,Single,No,Travel_Rarely,"Research & Development","Research Scientist",Other,6,138,1,41,665,12482,4809,3,2,1,3
37,Male,Divorced,No,Non-Travel,"Research & Development","Healthcare Representative","Life Sciences",2,139,3,100,1040,15850,5163,2,2,5,3
59,Female,Married,No,Non-Travel,"Human Resources",Manager,"Human Resources",2,140,3,32,1420,21922,18844,2,5,9,4
50,Female,Married,No,Travel_Frequently,"Research & Development","Research Director","Life Sciences",1,141,1,73,1115,9755,18172,3,5,3,3
25,Male,Single,Yes,Travel_Rarely,Sales,"Sales Executive",Marketing,5,142,3,46,240,26959,5744,2,2,1,3
25,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,7,143,4,64,1280,26897,2889,2,1,1,3
22,Female,Single,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,15,144,2,59,534,23785,2871,3,1,1,3
51,Female,Single,No,Travel_Frequently,"Research & Development","Healthcare Representative",Medical,1,145,1,30,1456,25796,7484,2,3,3,4
34,Male,Single,Yes,Travel_Frequently,"Research & Development","Laboratory Technician","Life Sciences",7,147,1,66,658,22887,6074,1,2,1,4
54,Female,Single,No,Non-Travel,"Human Resources",Manager,"Human Resources",26,148,4,30,142,13871,17328,4,4,2,3
24,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",18,150,2,52,1127,13257,2774,3,1,0,3
34,Female,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",6,151,3,45,1031,15000,4505,2,2,6,3
37,Male,Single,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",3,152,3,87,1189,14506,7428,3,3,2,3
34,Female,Single,No,Travel_Rarely,"Research & Development",Manager,Medical,5,153,3,45,1354,5615,11631,2,3,2,3
36,Female,Married,No,Travel_Frequently,Sales,"Sales Executive","Technical Degree",11,154,2,92,1467,22952,9738,3,3,0,3
36,Female,Divorced,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",3,155,1,39,922,2561,2835,3,1,5,4
43,Male,Married,No,Travel_Frequently,Sales,Manager,"Life Sciences",26,158,3,92,394,19494,16959,3,4,1,3
30,Male,Divorced,No,Travel_Frequently,"Research & Development","Research Scientist","Life Sciences",23,159,1,96,1312,22310,2613,1,1,1,4
33,Male,Married,No,Non-Travel,Sales,"Sales Executive",Marketing,22,160,3,95,750,15480,6146,3,2,0,3
56,Female,Married,Yes,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",14,161,2,72,441,4510,4963,3,1,9,3
51,Male,Single,No,Travel_Rarely,"Research & Development","Research Director","Life Sciences",6,162,1,51,684,6462,19537,3,5,7,3
31,Male,Married,Yes,Travel_Rarely,Sales,"Sales Executive","Life Sciences",6,163,2,76,249,20739,6172,1,2,4,3
26,Female,Married,No,Travel_Rarely,"Research & Development","Research Scientist",Other,6,164,3,46,841,23300,2368,2,1,1,3
58,Female,Married,Yes,Travel_Rarely,"Research & Development","Healthcare Representative",Medical,23,165,4,94,147,3465,10312,3,3,1,3
19,Male,Single,Yes,Travel_Rarely,Sales,"Sales Representative",Marketing,22,167,4,50,528,26820,1675,3,1,1,3
22,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician","Technical Degree",2,169,3,100,594,19299,2523,3,1,0,3
49,Female,Married,No,Travel_Rarely,"Research & Development","Manufacturing Director",Medical,20,170,3,96,470,5549,6567,3,2,1,3
43,Female,Single,No,Travel_Frequently,"Research & Development","Research Scientist",Medical,28,171,2,72,957,16090,4739,4,1,4,3
50,Female,Single,No,Travel_Frequently,Sales,"Sales Executive",Marketing,12,174,3,77,809,6645,9208,3,3,4,3
31,Female,Married,Yes,Travel_Rarely,Sales,"Sales Executive","Life Sciences",20,175,2,71,542,24788,4559,1,2,3,3
41,Male,Divorced,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",9,176,3,96,802,21196,8189,3,3,3,3
26,Female,Married,No,Travel_Rarely,"Human Resources","Human Resources","Life Sciences",25,177,3,61,1355,8916,2942,3,1,1,4
36,Male,Divorced,No,Travel_Rarely,"Research & Development","Manufacturing Director",Medical,6,178,2,84,216,2819,4941,3,2,6,4
51,Male,Single,Yes,Travel_Frequently,"Research & Development","Manufacturing Director","Life Sciences",8,179,1,53,1150,25150,10650,1,3,2,3
39,Female,Married,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",4,182,4,47,1329,14590,5902,2,2,4,3
25,Male,Married,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",28,183,1,41,959,24835,8639,2,2,2,3
30,Male,Married,No,Travel_Rarely,"Human Resources","Human Resources","Human Resources",9,184,3,48,1240,13982,6347,3,2,0,3
32,Female,Single,Yes,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,9,190,1,41,1033,10224,4200,3,1,7,4
45,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,29,192,3,83,1316,9752,3452,3,1,5,3
38,Female,Single,No,Travel_Rarely,"Research & Development","Research Scientist","Technical Degree",3,193,4,32,364,2302,4317,3,2,3,4
30,Female,Single,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",18,194,1,75,438,23910,2632,3,1,1,3
32,Male,Divorced,No,Travel_Frequently,Sales,"Sales Executive",Medical,9,195,4,35,689,22812,4668,1,2,0,3
30,Female,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Technical Degree",5,197,4,84,201,10415,3204,3,1,5,3
30,Male,Single,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,2,198,2,35,1427,11162,2720,2,1,0,3
41,Male,Divorced,No,Travel_Frequently,"Research & Development",Manager,"Life Sciences",10,199,4,91,857,12888,17181,2,4,4,3
41,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",9,200,3,94,933,6961,2238,3,1,2,4
19,Female,Single,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,3,201,2,79,1181,16102,1483,3,1,1,3
40,Female,Divorced,No,Travel_Frequently,"Research & Development","Research Scientist",Medical,26,202,2,54,1395,8504,5605,3,2,1,3
35,Male,Married,No,Travel_Rarely,Sales,"Sales Executive",Marketing,1,204,3,94,662,11439,7295,3,3,1,3
53,Male,Married,No,Travel_Rarely,Sales,"Sales Representative",Marketing,6,205,2,34,1436,16047,2306,3,2,2,4
45,Male,Divorced,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",9,206,2,60,194,10901,2348,3,2,8,3
32,Female,Single,No,Travel_Frequently,Sales,"Sales Executive",Marketing,8,207,2,43,967,15589,8998,3,3,1,3
29,Male,Married,No,Non-Travel,"Research & Development","Manufacturing Director","Technical Degree",1,208,4,41,1496,26283,4319,3,2,1,3
51,Male,Married,No,Travel_Rarely,"Research & Development","Manufacturing Director",Medical,7,211,2,34,1169,13983,6132,2,2,2,3
58,Female,Married,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,9,214,2,75,1145,11873,3346,2,1,4,4
40,Male,Married,No,Travel_Rarely,Sales,"Sales Executive",Marketing,4,215,3,67,630,8552,10855,2,3,7,3
34,Female,Married,No,Travel_Frequently,Sales,"Sales Representative",Marketing,2,216,3,75,303,11314,2231,3,1,6,3
22,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,19,217,3,80,1256,11992,2323,3,1,1,4
27,Male,Divorced,No,Non-Travel,"Research & Development","Research Scientist",Medical,9,218,4,57,691,5970,2024,3,1,6,3
28,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,21,221,3,42,440,6672,2713,3,1,1,3
57,Male,Divorced,No,Travel_Rarely,"Research & Development","Healthcare Representative","Life Sciences",24,223,3,83,334,23402,9439,4,3,3,3
27,Male,Divorced,No,Non-Travel,"Research & Development","Research Scientist",Medical,3,224,3,79,1450,25326,2566,2,1,1,3
50,Female,Single,No,Travel_Rarely,"Research & Development",Manager,"Life Sciences",11,226,3,53,1452,17053,19926,3,5,3,3
41,Male,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",14,227,1,56,465,4609,2451,3,1,4,3
30,Female,Married,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",5,228,2,41,1339,8053,9419,3,3,2,3
38,Female,Single,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",1,230,1,59,702,12930,8686,2,2,4,4
32,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",6,231,3,43,120,12430,3038,3,1,3,4
27,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist","Technical Degree",17,233,3,51,1157,13364,3058,3,1,0,3
19,Female,Single,Yes,Travel_Frequently,Sales,"Sales Representative","Technical Degree",1,235,3,100,602,20989,2325,1,1,0,4
36,Male,Single,No,Travel_Frequently,"Research & Development","Laboratory Technician",Medical,3,238,4,30,1480,15062,2088,3,1,4,3
30,Male,Divorced,No,Non-Travel,"Research & Development","Laboratory Technician",Medical,9,239,3,66,111,11012,3072,3,2,1,3
45,Female,Divorced,No,Travel_Rarely,Sales,"Sales Executive","Life Sciences",4,240,3,30,1268,6319,5006,3,2,4,3
56,Female,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",8,241,3,67,713,13939,4257,3,1,4,3
33,Male,Single,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",2,242,3,90,134,10515,2500,3,1,0,3
19,Male,Single,Yes,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",2,243,2,47,303,9241,1102,2,1,1,4
46,Female,Divorced,No,Travel_Rarely,Sales,"Sales Executive",Marketing,1,244,2,92,526,2137,10453,3,3,1,4
38,Female,Single,No,Travel_Rarely,"Research & Development","Laboratory Technician","Life Sciences",9,245,3,75,1380,6319,2288,3,1,1,3
31,Female,Married,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,12,246,3,95,140,6984,3929,3,1,8,4
34,Female,Single,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,27,247,4,95,629,5711,2311,3,1,2,3
41,Female,Single,Yes,Travel_Rarely,Sales,"Sales Representative",Marketing,20,248,2,70,1356,21728,3140,3,1,1,4
50,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,1,249,3,86,328,3425,3690,2,1,2,3
53,Female,Divorced,No,Travel_Rarely,"Research & Development","Manufacturing Director",Medical,13,250,4,57,1084,26250,4450,4,2,1,3
33,Female,Married,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,14,252,4,72,931,4673,2756,3,1,1,3
40,Female,Married,No,Travel_Rarely,"Research & Development",Manager,Medical,4,253,4,46,989,6499,19033,3,5,1,3
55,Male,Single,No,Travel_Rarely,"Research & Development","Research Director",Medical,14,254,3,61,692,13339,18722,4,5,8,3
34,Male,Married,No,Travel_Frequently,"Research & Development","Manufacturing Director","Life Sciences",2,256,4,45,1069,14074,9547,2,2,1,3
51,Female,Single,No,Travel_Rarely,"Research & Development","Healthcare Representative",Medical,3,258,4,98,313,7192,13734,3,4,3,3
52,Male,Married,No,Travel_Rarely,"Research & Development",Manager,"Life Sciences",1,259,3,65,699,5678,19999,2,5,0,3
27,Female,Single,No,Travel_Rarely,"Research & Development","Research Scientist",Medical,9,260,4,99,894,11781,2279,3,1,1,3
35,Male,Married,Yes,Travel_Rarely,"Research & Development","Manufacturing Director","Life Sciences",23,261,2,50,556,15497,5916,2,2,3,3
43,Male,Divorced,No,Non-Travel,"Research & Development","Research Scientist",Medical,7,262,4,37,1344,5228,2089,4,1,4,3
45,Male,Married,No,Non-Travel,"Research & Development",Manager,Medical,2,264,1,65,1195,20462,16792,2,4,9,4
37,Male,Married,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",21,267,2,65,290,22977,3564,4,1,1,3
35,Female,Single,No,Travel_Frequently,"Research & Development","Laboratory Technician",Medical,2,269,2,37,138,15986,4425,3,2,5,3
42,Female,Divorced,No,Non-Travel,"Research & Development","Manufacturing Director",Medical,21,270,3,36,926,16439,5265,3,2,2,3
38,Male,Married,No,Travel_Rarely,"Research & Development","Manufacturing Director","Life Sciences",2,271,4,88,1261,7259,6553,3,2,9,3
38,Male,Married,No,Travel_Rarely,"Research & Development","Manufacturing Director","Technical Degree",29,273,4,54,1084,4185,6261,3,2,3,3
27,Male,Married,No,Travel_Frequently,"Research & Development","Manufacturing Director","Technical Degree",1,274,3,60,472,9679,4298,2,2,5,3
49,Male,Divorced,No,Non-Travel,"Research & Development","Manufacturing Director","Life Sciences",18,275,4,92,1002,23793,6804,3,2,1,3
34,Male,Divorced,No,Travel_Frequently,"Research & Development","Research Scientist",Medical,10,277,4,43,878,5972,3815,3,1,1,3
40,Male,Married,No,Travel_Rarely,"Research & Development","Laboratory Technician",Medical,19,281,3,99,905,16523,2741,3,2,8,3
38,Male,Married,Yes,Travel_Rarely,"Research & Development","Healthcare Representative",Medical,29,282,2,70,1180,11354,6673,3,2,7,3
29,Female,Married,Yes,Travel_Rarely,Sales,"Sales Executive",Marketing,27,283,2,35,121,24525,7639,3,3,1,4
22,Male,Divorced,No,Travel_Rarely,"Research & Development","Research Scientist","Life Sciences",5,284,4,60,1136,12392,2328,4,1,1,3
36,Female,Single,No,Travel_Frequently,"Research & Development","Laboratory Technician",Medical,18,286,2,73,635,7703,2153,3,1,1,3
40,Male,Married,No,Non-Travel,"Research & Development","Healthcare Representative","Life Sciences",9,287,4,63,1151,14242,4876,2,2,9,3
46,Male,Divorced,No,Travel_Rarely,"Research & Development","Healthcare Representative",Medical,1,288,4,97,644,12368,9396,3,3,7,3
32,Male,Married,Yes,Travel_Rarely,Sales,"Sales Executive",Medical,4,291,4,32,1045,25812,10400,1,3,1,3
30,Male,Single,No,Non-Travel,"Research & Development","Manufacturing Director","Life Sciences",1,292,3,88,829,20925,8474,2,3,1,4
27,Female,Single,No,Travel_Frequently,Sales,"Sales Executive","Life Sciences",20,293,4,90,1242,12916,9981,3,2,1,3
51,Male,Married,No,Travel_Rarely,"Research & Development","Research Director","Life Sciences",8,296,2,81,1469,15736,12490,2,3,5,3
30,Female,Single,Yes,Travel_Rarely,"Research & Development","Research Scientist","Technical Degree",3,297,4,88,1005,8556,2657,3,1,5,3
41,Female,Single,No,Travel_Rarely,Sales,Manager,"Life Sciences",6,298,4,75,896,14674,13591,3,3,3,3
